Borough,Longitude,Latitude,LatinSpecies
Staten Island,-74.180429,40.537812,PYRUS CALLERYANA
Bronx,-73.925838,40.821290000000005,UNKNOWN LIVE TREES 
Brooklyn,-73.890998,40.671765,QUERCUS PALUSTRIS
Brooklyn,-73.91040500000001,40.632657,QUERCUS PALUSTRIS
Manhattan,-73.986343,40.76705,PLANTING SITE
Queens,-73.906155,40.710516999999996,PLATANUS ACERIFOLIA
Queens,1.0,1.0,QUERCUS RUBRA
Staten Island,-74.149979,40.627016999999995,ACER PLATANOIDES
Brooklyn,-73.97791600000001,40.604056,PLATANUS ACERIFOLIA
Manhattan,-73.98538,40.737341,UNKNOWN LIVE TREES 
Queens,-73.80627199999999,40.778181,ACER SACCHARUM
Brooklyn,-73.941867,40.64216,ULMUS AMERICANA
Manhattan,1.0,1.0,PLATANUS ACERIFOLIA
Queens,-73.75309399999999,40.73939,ACER PLATANOIDES
Staten Island,-74.15061800000001,40.611093,QUERCUS PALUSTRIS
Bronx,1.0,1.0,QUERCUS PHELLOS
Brooklyn,-73.88915899999999,40.680178999999995,QUERCUS PALUSTRIS
Queens,-73.881793,40.704454999999996,ACER PLATANOIDES
Queens,-73.730703,40.726064,ACER PLATANOIDES
Manhattan,-73.964727,40.753282,GINKGO BILOBA
Staten Island,-74.138276,40.566340000000004,ZELKOVA SERRATA
Manhattan,-73.98660500000001,40.776889000000004,PLATANUS ACERIFOLIA
Queens,-73.776258,40.668762,ACER PLATANOIDES
Staten Island,1.0,1.0,ACER SACCHARUM
Queens,-73.81756999999999,40.775569,PLATANUS ACERIFOLIA
Staten Island,-74.10519599999999,40.633105,QUERCUS PALUSTRIS
Queens,-73.789263,40.741997,ACER PLATANOIDES
Queens,-73.735385,40.657043,UNKNOWN LIVE TREES 
Brooklyn,1.0,1.0,PLATANUS ACERIFOLIA
Bronx,-73.871445,40.900088000000004,QUERCUS PALUSTRIS
Queens,-73.893062,40.700204,ACER PLATANOIDES
Brooklyn,1.0,1.0,PLATANUS ACERIFOLIA
Staten Island,-74.25463,40.507259999999995,ACER PLATANOIDES
Staten Island,-74.11395,40.57094,PLATANUS ACERIFOLIA
Queens,-73.81308299999999,40.68207,PLANTING SITE
Queens,-73.760529,40.688716,SOPHORA JAPONICA
Staten Island,-74.16614200000001,40.526804,PYRUS CALLERYANA
Queens,-73.765327,40.608940999999994,ACER RUBRUM
Manhattan,-74.002758,40.745415,PLATANUS ACERIFOLIA
Brooklyn,-73.94816800000001,40.608031,QUERCUS PALUSTRIS
Queens,-73.892324,40.746758,PLATANUS ACERIFOLIA
Staten Island,-74.097902,40.640522,ACER PLATANOIDES
Queens,-73.823836,40.677787,TILIA CORDATA
Staten Island,-74.158658,40.626098,ACER SACCHARINUM
Brooklyn,-73.950162,40.603367999999996,FRAXINUS PENNSYLVANICA
Bronx,-73.926091,40.827866,ACER PSEUDOPLATANUS
Queens,-73.805126,40.731426,QUERCUS PALUSTRIS
Manhattan,-73.957175,40.812134,FRAXINUS PENNSYLVANICA
Bronx,-73.857033,40.816736,ACER SACCHARINUM
Brooklyn,-74.024817,40.631375,PLATANUS ACERIFOLIA
